hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
htop 3.3.0-1
http-parser 2.9.4-1
hwdata 0.378-1
hwloc 2.10.0-1
hyphen 2.8.8-5
i3-wm 4.23-1
i3lock-color 2.13.c.5-1
iana-etc 20231228-1
icu 74.2-1
ijs 0.35-5
imagemagick 7.1.1.27-1
imath 3.1.9-2
imlib2 1.12.1-2
iniparser 4.1-4
inkscape 1.3.2-3
intel-ucode 20231114-1
interception-caps2esc 0.3.2-2
interception-tools 0.6.8-7
iproute2 6.7.0-1
iptables 1:1.8.10-1
iputils 20240117-1
ipython 8.20.0-1
iso-codes 4.16.0-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.1.1-1
jbig2dec 0.20-1
jbigkit 2.1-7
jemalloc 1:5.3.0-3
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jupyter-nbclient 0.9.0-1
jupyter-nbconvert 7.14.2-1
jupyter-nbformat 5.9.2-1
jupyter-notebook-shim 0.2.3-2
jupyter-server 2.12.5-1
jupyterlab 4.0.11-1
jupyterlab-pygments 0.3.0-1
jxrlib 0.2.4-2
kaccounts-integration 23.08.4-1
kactivities5 5.114.0-1
karchive5 5.114.0-1
kauth5 5.114.0-1
kbd 2.6.4-1
kbookmarks5 5.114.0-1
kcmutils5 5.114.0-1
kcodecs5 5.114.0-1
kcompletion5 5.114.0-1
kconfig5 5.114.0-1
kconfigwidgets5 5.114.0-1
kcoreaddons5 5.114.0-1
kcrash5 5.114.0-1
kdbusaddons5 5.114.0-1
kdeclarative5 5.114.0-1
kded5 5.114.0-1
kdenlive 23.08.4-1
keyutils 1.6.3-2
kfilemetadata5 5.114.0-1
kglobalaccel5 5.114.0-1
kguiaddons5 5.114.0-1
ki18n5 5.114.0-1
kiconthemes5 5.114.0-1
kio5 5.114.0-1
kirigami2 5.114.0-1
kitemviews5 5.114.0-1
kitty 0.31.0-1
kitty-shell-integration 0.31.0-1
kitty-terminfo 0.31.0-1
kjobwidgets5 5.114.0-1
kmod 31-1
knewstuff5 5.114.0-1
knotifications5 5.114.0-1
knotifyconfig5 5.114.0-1
kpackage5 5.114.0-1
kparts5 5.114.0-1
kpty5 5.114.0-1
krb5 1.21.2-2
kservice5 5.114.0-1
ktextwidgets5 5.114.0-1
kvantum 1.0.10-2
kwallet5 5.114.0-1
kwidgetsaddons5 5.114.0-1
kwindowsystem5 5.114.0-1
kxmlgui5 5.114.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
lcms2 2.16-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
leptonica 1.84.1-1
less 1:643-1
lftp 4.9.2-2
lib2geom 1.3-1
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libaec 1.1.2-1
libaio 0.3.113-2
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.2-1
libass 0.17.1-2
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.0.3-1
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-2
libblockdev 3.0.4-1
libbluray 1.3.4-1
libbpf 1.3.0-1
libbs2b 3.1.0-8
libbsd 0.11.8-1
libburn 1.5.6-1
libbytesize 2.8-2
